Tokens.txt opening....
Reading in File Data.......
File 1 tokens: 239, k-gram hashes: 236, fingerprints: 85
File 2 tokens: 294, k-gram hashes: 291, fingerprints: 102
File 3 tokens: 291, k-gram hashes: 288, fingerprints: 104
File 4 tokens: 288, k-gram hashes: 285, fingerprints: 104
File 5 tokens: 329, k-gram hashes: 326, fingerprints: 117
File 6 tokens: 264, k-gram hashes: 261, fingerprints: 94
File 7 tokens: 271, k-gram hashes: 268, fingerprints: 94
File 8 tokens: 268, k-gram hashes: 265, fingerprints: 97
File 9 tokens: 291, k-gram hashes: 288, fingerprints: 104
File 10 tokens: 331, k-gram hashes: 328, fingerprints: 124
File 11 tokens: 298, k-gram hashes: 295, fingerprints: 111
File 12 tokens: 257, k-gram hashes: 254, fingerprints: 92
File 13 tokens: 266, k-gram hashes: 263, fingerprints: 94
File 14 tokens: 361, k-gram hashes: 358, fingerprints: 134
File 15 tokens: 247, k-gram hashes: 244, fingerprints: 91
File 16 tokens: 329, k-gram hashes: 326, fingerprints: 134
File 17 tokens: 216, k-gram hashes: 213, fingerprints: 77
File 18 tokens: 355, k-gram hashes: 352, fingerprints: 129
File 19 tokens: 361, k-gram hashes: 358, fingerprints: 132
File 20 tokens: 330, k-gram hashes: 327, fingerprints: 124
File 21 tokens: 348, k-gram hashes: 345, fingerprints: 132
File 22 tokens: 252, k-gram hashes: 249, fingerprints: 93
File 23 tokens: 255, k-gram hashes: 252, fingerprints: 92
File 24 tokens: 261, k-gram hashes: 258, fingerprints: 92
File 25 tokens: 275, k-gram hashes: 272, fingerprints: 98
File 26 tokens: 288, k-gram hashes: 285, fingerprints: 105
File 27 tokens: 195, k-gram hashes: 192, fingerprints: 83
File 28 tokens: 289, k-gram hashes: 286, fingerprints: 103
File 29 tokens: 260, k-gram hashes: 257, fingerprints: 92
File 30 tokens: 329, k-gram hashes: 326, fingerprints: 123
File 31 tokens: 307, k-gram hashes: 304, fingerprints: 108
File 32 tokens: 273, k-gram hashes: 270, fingerprints: 96
File 33 tokens: 322, k-gram hashes: 319, fingerprints: 115
File 34 tokens: 235, k-gram hashes: 232, fingerprints: 83
File 35 tokens: 361, k-gram hashes: 358, fingerprints: 134
File 36 tokens: 266, k-gram hashes: 263, fingerprints: 94
File 37 tokens: 285, k-gram hashes: 282, fingerprints: 106
File 38 tokens: 306, k-gram hashes: 303, fingerprints: 117
File 39 tokens: 362, k-gram hashes: 359, fingerprints: 134
File 40 tokens: 324, k-gram hashes: 321, fingerprints: 115
File 41 tokens: 360, k-gram hashes: 357, fingerprints: 134
File 42 tokens: 299, k-gram hashes: 296, fingerprints: 106
File 43 tokens: 345, k-gram hashes: 342, fingerprints: 128
File 44 tokens: 164, k-gram hashes: 161, fingerprints: 95
File 45 tokens: 274, k-gram hashes: 271, fingerprints: 100
File 46 tokens: 279, k-gram hashes: 276, fingerprints: 104
File 47 tokens: 256, k-gram hashes: 253, fingerprints: 91
File 48 tokens: 260, k-gram hashes: 257, fingerprints: 91
File 49 tokens: 255, k-gram hashes: 252, fingerprints: 91
File 50 tokens: 255, k-gram hashes: 252, fingerprints: 94
File 51 tokens: 156, k-gram hashes: 153, fingerprints: 69
File 52 tokens: 327, k-gram hashes: 324, fingerprints: 122
File 53 tokens: 291, k-gram hashes: 288, fingerprints: 104
File 54 tokens: 291, k-gram hashes: 288, fingerprints: 104
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                   1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        34        35        36        37        38        39        40        41        42        43        44        45        46        47        48        49        50        51        52        53        54
         1        --     46.81     54.35     60.47     52.00     65.12     57.78     55.32     54.35     50.91     38.71     44.00     56.25     52.73     56.52     19.18     51.06     50.98     34.48     39.34     49.06     60.00     53.33     64.29     57.78     67.44     32.61     62.22     62.79     51.85     53.49     56.82     51.92     44.44     42.86     51.11     68.18     44.64     44.44     57.78     41.38     55.77     50.98      0.00     59.09     73.81     57.78     55.56     60.00     48.94      8.96     38.71     54.35     54.35
         2     46.81        --     79.49     58.14     63.04     45.83     55.56     60.00     79.49     49.09     41.67     51.06     45.10     48.21     51.06     19.44     48.94     61.70     30.51     37.70     47.17     54.35     47.83     65.85     48.94     54.35     33.33     44.00     50.00     47.27     54.76     78.95     52.94     45.45     43.64     55.81     52.08     42.86     45.28     62.79     42.11     53.85     46.15      1.45     43.75     46.94     48.94     46.81     47.92     53.33      7.46     44.07     79.49     79.49
         3     54.35     79.49        --     70.73     71.11     53.19     63.64     72.09    100.00     55.56     47.46     52.08     52.00     49.12     58.70     18.92     56.52     69.57     29.51     40.98     50.94     62.22     55.56     75.00     56.52     55.32     31.91     51.02     57.78     53.70     67.50     89.19     63.27     50.00     47.27     64.29     53.06     46.43     49.06     63.64     40.68     60.78     50.00      1.41     51.06     54.17     56.52     54.35     55.32     51.06      8.82     35.94    100.00    100.00
         4     60.47     58.14     70.73        --     59.57     59.09     59.09     63.64     70.73     43.86     39.34     47.92     57.45     50.91     65.12     19.44     55.56     58.33     30.51     40.00     47.17     69.05     58.14     70.00     52.17     54.35     30.43     56.52     64.29     44.64     51.16     70.00     50.00     42.22     43.64     52.27     52.08     42.86     42.59     55.56     37.29     56.86     49.02      2.94     60.47     56.52     62.79     60.47     61.36     50.00      9.09     32.81     70.73     70.73
         5     52.00     63.04     71.11     59.57        --     45.28     54.00     58.00     71.11     58.93     48.39     47.17     44.64     50.00     52.94     17.72     45.28     97.62     37.70     51.67     54.55     56.00     50.00     63.04     60.42     47.17     42.55     43.64     49.02     60.00     60.00     74.42     77.08     44.90     50.88     57.45     48.15     50.00     52.73     50.98     51.72     81.25     56.60      1.32     46.15     51.92     48.08     46.15     47.17     46.15      8.22     35.29     71.11     71.11
         6     65.12     45.83     53.19     59.09     45.28        --     63.64     60.87     53.19     50.00     35.94     46.00     72.73     57.41     65.91     25.71     75.61     44.44     33.90     36.51     48.15     69.77     62.79     70.73     60.00     65.91     26.53     85.00     86.84     50.91     45.65     59.09     48.15     46.67     44.64     68.29     63.04     43.86     46.30     60.00     38.33     51.85     50.00      0.00     73.17     64.44     84.62     77.50     82.50     51.06      8.82     47.46     53.19     53.19
         7     57.78     55.56     63.64     59.09     54.00     63.64        --     80.49     63.64     47.37     40.32     65.91     68.89     49.12     69.77     22.22     71.43     52.94     38.60     43.33     56.86     65.91     75.00     84.21     60.00     55.32     29.17     60.87     61.36     48.21     55.81     70.73     66.67     50.00     44.64     60.47     53.06     51.85     46.30     67.44     38.33     57.69     59.18      0.00     54.35     60.87     71.43     61.36     78.05     54.35      8.82     38.10     63.64     63.64
         8     55.32     60.00     72.09     63.64     58.00     60.87     80.49        --     72.09     45.76     39.06     63.04     65.96     47.46     78.57     23.29     68.18     56.86     35.00     44.26     54.72     74.42     71.43     84.62     54.17     56.25     28.00     58.33     58.70     46.55     60.47     75.61     67.35     47.83     45.61     61.36     54.00     50.00     47.27     64.44     37.10     58.49     56.86      1.37     48.98     58.33     72.09     62.22     70.45     52.08      8.57     36.92     72.09     72.09
         9     54.35     79.49    100.00     70.73     71.11     53.19     63.64     72.09        --     55.56     47.46     52.08     52.00     49.12     58.70     18.92     56.52     69.57     29.51     40.98     50.94     62.22     55.56     75.00     56.52     55.32     31.91     51.02     57.78     53.70     67.50     89.19     63.27     50.00     47.27     64.29     53.06     46.43     49.06     63.64     40.68     60.78     50.00      1.41     51.06     54.17     56.52     54.35     55.32     51.06      8.82     35.94    100.00    100.00
        10     50.91     49.09     55.56     43.86     58.93     50.00     47.37     45.76     55.56        --     43.48     37.10     44.26     59.02     49.12     21.95     44.83     57.89     37.88     42.03     48.39     51.79     41.38     49.09     58.49     49.12     34.55     48.28     50.91     97.92     54.90     57.69     48.39     44.44     57.63     58.82     47.46     49.21     56.90     50.00     53.23     49.21     47.54      1.20     48.21     53.57     44.83     45.61     49.12     38.33      7.50     39.44     55.56     55.56
